,DA_CC,DA_EC,DA_LMP,DA_MLC,DEMAND,Date,Day,DayOfYear,DewPnt,DryBulb,Hour,Month,RT_CC,RT_EC,RT_LMP,RT_MLC,WeekDay,Year
32,0.0,39.23,39.54,0.31,1890.8872472356832,1/2/2011,2,2,45,45,9,1,0.0,45.72,45.89,0.17,6,2011
33,0.0,39.95,40.16,0.21,1858.3133370623732,1/2/2011,2,2,44,44,10,1,0.0,39.43,39.69,0.26,6,2011
34,0.0,40.18,40.47,0.29,1877.5750592774448,1/2/2011,2,2,44,44,11,1,0.0,41.56,41.76,0.2,6,2011
35,0.0,40.44,40.73,0.29,1883.1597395054443,1/2/2011,2,2,45,46,12,1,0.0,41.15,41.37,0.22,6,2011
36,0.0,40.17,40.38,0.21,1879.8454950487462,1/2/2011,2,2,44,47,13,1,0.0,40.0,40.25,0.25,6,2011
37,0.0,39.73,39.97,0.24,1869.4011315860785,1/2/2011,2,2,44,46,14,1,0.0,38.6,38.85,0.25,6,2011
38,0.0,39.06,39.29,0.23,1865.0044688230387,1/2/2011,2,2,44,46,15,1,0.0,37.58,37.81,0.23,6,2011
39,0.0,40.09,40.23,0.14,1879.866679111342,1/2/2011,2,2,43,46,16,1,0.0,37.56,37.71,0.15,6,2011
40,0.0,40.48,40.71,0.23,1908.3131809361396,1/2/2011,2,2,41,44,17,1,0.0,47.35,47.51,0.16,6,2011
41,0.0,59.32,59.6,0.28,2047.7494151549563,1/2/2011,2,2,40,42,18,1,0.0,61.12,61.25,0.13,6,2011
42,0.0,55.98,56.37,0.39,2024.2958782375074,1/2/2011,2,2,30,41,19,1,0.0,46.97,47.13,0.16,6,2011
43,0.0,48.9,49.27,0.37,1988.4899688330315,1/2/2011,2,2,26,39,20,1,0.0,48.14,48.32,0.18,6,2011
44,0.0,42.31,42.7,0.39,1910.749047395721,1/2/2011,2,2,26,37,21,1,0.0,40.58,40.84,0.26,6,2011
45,0.0,41.31,41.6,0.29,1888.805269844929,1/2/2011,2,2,25,35,22,1,0.0,37.53,37.75,0.22,6,2011
