DA_CC,DA_EC,DA_LMP,DA_MLC,DEMAND,Date,Day,DayOfYear,DewPnt,DryBulb,Hour,Month,RT_CC,RT_EC,RT_LMP,RT_MLC,WeekDay,Year
0,46.38,46.68,0.3,,1/5/2011,5,5,10,31,16,1,0,41.43,41.86,0.43,2,2011
0,55.44,55.88,0.44,,1/5/2011,5,5,9,30,17,1,0,59.1,59.74,0.64,2,2011
0,81.19,81.51,0.32,,1/5/2011,5,5,10,28,18,1,0,94.21,95,0.79,2,2011
1.03,77.14,78.48,0.31,,1/5/2011,5,5,8,27,19,1,0,56.34,56.75,0.41,2,2011
0.07,60.66,61.07,0.34,,1/5/2011,5,5,9,25,20,1,0,53.66,54.06,0.4,2,2011
0,56.31,56.88,0.57,,1/5/2011,5,5,10,24,21,1,0,48.89,49.34,0.45,2,2011
0,51.05,51.46,0.41,,1/5/2011,5,5,8,22,22,1,0,46.62,47.15,0.53,2,2011
0,45.86,46.09,0.23,,1/5/2011,5,5,10,22,23,1,0,51.11,51.76,0.65,2,2011
0,42.97,43.26,0.29,,1/5/2011,5,5,9,21,24,1,0,46.68,47.23,0.55,2,2011
0,42.1,42.47,0.37,,1/6/2011,6,6,10,19,1,1,0,42.14,42.56,0.42,3,2011
0,41.62,41.98,0.36,,1/6/2011,6,6,9,18,2,1,0,40.32,40.72,0.4,3,2011
0,41,41.34,0.34,,1/6/2011,6,6,9,18,3,1,0,40.98,41.37,0.39,3,2011
0,41.04,41.37,0.33,,1/6/2011,6,6,9,16,4,1,0,41.87,42.24,0.37,3,2011
0,41.82,42.13,0.31,,1/6/2011,6,6,9,16,5,1,0,41.77,42.09,0.32,3,2011
0,42.7,42.99,0.29,,1/6/2011,6,6,10,17,6,1,0,45.25,45.54,0.29,3,2011
0,49.68,50.14,0.46,,1/6/2011,6,6,11,17,7,1,0,52.91,53.38,0.47,3,2011
0,53.16,53.82,0.66,,1/6/2011,6,6,12,17,8,1,0,64.24,64.89,0.65,3,2011
0,52.21,52.71,0.5,,1/6/2011,6,6,12,18,9,1,0,55.97,56.56,0.59,3,2011
0,51.65,52.15,0.5,,1/6/2011,6,6,13,20,10,1,0,57.88,58.43,0.55,3,2011
0.08,51.55,52.08,0.45,,1/6/2011,6,6,13,22,11,1,0,55.05,55.54,0.49,3,2011
0.1,50.71,51.04,0.23,,1/6/2011,6,6,13,25,12,1,0,49.56,50.01,0.45,3,2011
0.09,50.17,50.46,0.2,,1/6/2011,6,6,8,26,13,1,0,48.45,48.9,0.45,3,2011
0.12,48.28,48.69,0.29,,1/6/2011,6,6,8,26,14,1,0,49.78,50.15,0.37,3,2011
0.15,46.85,47.3,0.3,,1/6/2011,6,6,8,27,15,1,0,47.03,47.39,0.36,3,2011
0,48.22,48.43,0.21,,1/6/2011,6,6,7,27,16,1,0,44.67,45.04,0.37,3,2011
0.27,52.46,52.96,0.23,,1/6/2011,6,6,7,26,17,1,0,59.15,59.63,0.48,3,2011
0.72,66.87,68.06,0.47,,1/6/2011,6,6,7,25,18,1,0,69.53,69.99,0.46,3,2011
1.48,65.67,67.63,0.48,,1/6/2011,6,6,7,22,19,1,0,72.25,72.68,0.43,3,2011
2,56.19,58.53,0.34,,1/6/2011,6,6,7,24,20,1,0,58.12,58.48,0.36,3,2011
0.89,51.93,53.17,0.35,,1/6/2011,6,6,8,22,21,1,0,61.74,62.25,0.51,3,2011
0.33,49.87,50.44,0.24,,1/6/2011,6,6,8,22,22,1,0,64.56,65.19,0.63,3,2011
